INFO 2024-06-25 09:47:19,368 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-25 09:47:19,817 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1718659995.4917536
DEBUG 2024-06-25 09:47:19,817 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1718659993.7778375
DEBUG 2024-06-25 09:47:19,817 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1718659995.4857512
DEBUG 2024-06-25 09:47:19,817 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1718659993.5826888
DEBUG 2024-06-25 09:47:19,817 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1718659995.3494105
DEBUG 2024-06-25 09:47:19,818 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1718659995.3905635
DEBUG 2024-06-25 09:47:19,818 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1718659995.6510365
DEBUG 2024-06-25 09:47:19,818 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\windows_events.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,818 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1718659993.774837
DEBUG 2024-06-25 09:47:19,818 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1718915696.309047
DEBUG 2024-06-25 09:47:19,818 autoreload File D:\Program Files\PyCharm 2023.3.2\plugins\python\helpers\pycharm_matplotlib_backend\sitecustomize.py first seen with mtime 1702993860.0
DEBUG 2024-06-25 09:47:19,818 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\sre_compile.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,819 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\struct.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,819 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1718659995.3744946
DEBUG 2024-06-25 09:47:19,819 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1718659995.4637463
DEBUG 2024-06-25 09:47:19,819 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1718659995.474749
DEBUG 2024-06-25 09:47:19,819 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1718659995.584299
DEBUG 2024-06-25 09:47:19,819 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1718659993.5897243
DEBUG 2024-06-25 09:47:19,820 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1718659991.8478887
DEBUG 2024-06-25 09:47:19,820 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\traceback.py first seen with mtime 1652795112.0
DEBUG 2024-06-25 09:47:19,820 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\string.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,820 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\feedparser.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,820 autoreload File C:\Users\User\Desktop\cakesTP\project\cakes\cakes\settings.py first seen with mtime 1719296910.2973063
DEBUG 2024-06-25 09:47:19,820 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1718915696.3130453
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\multiprocessing\process.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\viewsets.py first seen with mtime 1718915696.1190035
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\json\encoder.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1718659995.5991335
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\DLLs\_zoneinfo.pyd first seen with mtime 1652795162.0
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\sre_parse.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1718659995.392564
DEBUG 2024-06-25 09:47:19,821 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\mimetypes.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,822 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\forms\fields.py first seen with mtime 1718659995.5037558
DEBUG 2024-06-25 09:47:19,822 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\windows_utils.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,822 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\utils\html.py first seen with mtime 1718915696.3110454
DEBUG 2024-06-25 09:47:19,822 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\opcode.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,822 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1718659995.3814962
DEBUG 2024-06-25 09:47:19,822 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1718659995.5971022
DEBUG 2024-06-25 09:47:19,823 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\inspect.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,823 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\headerregistry.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,823 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\base_futures.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,823 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1718659995.3604133
DEBUG 2024-06-25 09:47:19,823 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1718659995.6159172
DEBUG 2024-06-25 09:47:19,823 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\header.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,824 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1718659995.494754
DEBUG 2024-06-25 09:47:19,824 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\futures.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,824 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1718659995.3424096
DEBUG 2024-06-25 09:47:19,824 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\selector_events.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,824 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\pprint.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,824 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1718915696.3170466
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1718659993.9600356
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\DLLs\_hashlib.pyd first seen with mtime 1652795162.0
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\dis.py first seen with mtime 1652795110.0
